,,,,,,,
Owner,#,Scenario,Sample input,Prompt for output,Sample output,GE LLM run time in seconds,GE LLM Response
,,,,,* Education funding not fully secured,,
,,,,,,,**Combined**:
,,,,,---,,- Combined Income: ~14k+/month
,,,,,,,- HDB Loan: ~20 years left
,,,,,### 3. Action Items (from Meeting),,
,,,,,,,#### Relationship Attributes
,,,,,**Customer 1 – John**,,**John**:
,,,,,,,- Career Change: Recently switched to tech product manager role.
,,,,,* Send insurance policy details,,- Sports and Fitness Preferences: Enjoys cycling (East Coast Park weekends); recent wrist injury from a fall.
,,,,,,,- Marital/Relationship Dynamics: Married to Sarah; collaborative financial planning.
,,,,,**Customer 2 – Sarah**,,
,,,,,,,**Sarah**:
,,,,,* Send insurance policy details,,- Career Change: Potential promotion to HOD next year.
,,,,,,,- Sports and Fitness Preferences: Occasionally joins John’s cycling.
,,,,,**Advisor – Follow-up Actions**,,- Marital/Relationship Dynamics: Married to John; collaborative financial planning.
,,,,,,,
,,,,,* Review all existing plans,,**Combined**:
,,,,,* Propose personal accident coverage for both,,"- Family: One daughter (18), attending NUS Business next year."
,,,,,* Look into CI coverage upgrade,,- Future Plans: Potential condo upgrade after daughter graduates.
,,,,,* Explore short-term plan for daughter’s university funding,,
,,,,,,,---
,,,,,---,,
,,,,,,,### Action Items
,,,,,## 📊 Customer Attributes,,**Customer Follow-Up Actions**:
,,,,,,,- John and Sarah will send their policy details to the advisor.
,,,,,### Customer 1 – John,,
,,,,,,,**Advisor Follow-Up Actions**:
,,,,,**Financial Attributes**,,- Review all their existing plans properly.
,,,,,,,- Propose PA for both.
,,,,,* Income: ~9k/month (bonus reduced vs previous role),,- Look into CI upgrade.
,,,,,* CPF OA: ~$40k,,- Explore short-term plan to better secure the daughter’s uni funds.
,,,,,* CPF SA: ~$85k,,- Schedule next meeting for the following Sunday afternoon to discuss proposals.
,,,,,* Investments: ~$120k,,
,,,,,* Monthly Investment: ~$1k (ETFs),,
,,,,,* Insurance:,,
,,,,,,,
,,,,,"  * Hospital plan (NTUC, with rider)",,
,,,,,  * Term life (~$500k),,
,,,,,  * CI coverage: Existing but outdated,,
,,,,,* Housing: HDB loan (~20 years remaining),,
,,,,,,,
,,,,,**Relationship & Lifestyle Attributes**,,
,,,,,,,
,,,,,* Career Change: Recently moved into tech/product role,,
,,,,,* Lifestyle: Regular cycling (weekly),,
,,,,,* Health: Past minor fall (wrist injury),,
,,,,,"* Family: Married with 1 daughter (18, entering university)",,
,,,,,* Future Plans: Condo upgrade after daughter graduates,,
,,,,,,,
,,,,,---,,
,,,,,,,
,,,,,### Customer 2 – Sarah,,
,,,,,,,
,,,,,**Financial Attributes**,,
,,,,,,,
,,,,,* Income: ~$5.5k/month (potential ~$6.5k with HOD role),,
,,,,,* CPF OA: ~$90k,,
,,,,,* CPF SA: ~$70k,,
,,,,,* Insurance:,,
,,,,,,,
,,,,,"  * Hospital plan (NTUC, with rider)",,
,,,,,  * Term life (~$300k),,
,,,,,  * CI coverage: Limited,,
,,,,,  * Group insurance (basic),,
,,,,,,,
,,,,,**Relationship & Lifestyle Attributes**,,
,,,,,,,
,,,,,"* Career: MOE teacher, potential HOD role",,
,,,,,"* Lifestyle: Less active, occasionally cycles",,
,,,,,* Family: Married with 1 daughter (entering university),,
,,,,,* Financial Role: Involved in education planning,,
,,,,,,,
,,,,,---,,
,,,,,,,
,,,,,## 🔁 Action Items (Consolidated),,
,,,,,,,
,,,,,### Customer 1 – John,,
,,,,,,,
,,,,,* Send insurance policy details,,
,,,,,,,
,,,,,### Customer 2 – Sarah,,
,,,,,,,
,,,,,* Send insurance policy details,,
,,,,,,,
,,,,,### Advisor,,
,,,,,,,
,,,,,* Review all existing plans,,
,,,,,* Propose personal accident coverage for both,,
,,,,,* Look into CI coverage upgrade,,
,,,,,* Explore short-term plan for daughter’s university funding,,
Shermaine,3,"- Post meeting summary, attributes, and action items",Raw transcript from 1st Meeting:,"Generate a detailed but also concise post meeting summary (that can be consumed on a mobile interface) based on the below recap that was recorded by the advisor. for the meeting summary, include sections such as overview in a narrative style with key bullets (including elements like purpose of meeting, type of review, who attended, current stage of conversation, tone and sentiments, overall insights), discussion points, and action items split by customer follow-up actions vs. advisor follow-up actions (if multiple customers, split by customer 1, 2, etc.). After the meeting summary, in a separate section, extract any financial (e.g., income, annual bonus, CPF OA balance, CPF SA balance, investments, capital assets, child's university, fees) and relationship attributes (e.g., career change, travel plans, sports and fitness preferences, food and dining preferences, marital or relationship dynamics) mentioned by the customer. Label the category of attribute as well as the value. And in a third separate section, include the same action items that were generated in the meeting summary. If there are multiple customers in one meeting, generate one meeting summary, but the attributes and action items should be extracted per customer e.g., ""Customer 1 -xx,xx,xx "", ""Customer 2 -xx,xx,xx"". For action items, do not infer action items, but only include items that are explicitly mentioned in the transcript.",## 📝 Meeting Summary (Minchi),34,### Post Meeting Summary
,,- Based on meeting transcription,,,,,
,,- One customer,Speaker A: Hey.,<Insert voice recap transcript>,---,,#### Overview
,,,Speaker B: Hello Minchi. Thank you for meeting me today. I brought your Americano already.,,,,- **Purpose of Meeting**: Initial discussion about a GE pickleball tournament and general financial review.
,,,Speaker A: Thanks.,,### 1. Overview,,- **Type of Review**: Casual coffee meeting with a mix of personal and financial topics.
,,,"Speaker B: No problem. Oh, so actually today I meet you up, right? Is to actually talk about this GE pickleball tournament that I invited you.",,,,- **Who Attended**: Speaker A (Customer) and Speaker B (Advisor).
,,,Speaker A: Oh yeah? When is that? When is that?,,"This was an initial, casual catch-up over coffee, anchored around a pickleball event invitation, which naturally transitioned into a light financial discussion.",,- **Current Stage of Conversation**: Initial exploration of financial needs and personal interests.
,,,"Speaker B: Oh, it's happening next month in April.",,,,"- **Tone and Sentiments**: Friendly and informal, with a focus on personal interests and financial planning."
,,,"Speaker A: Oh my God. Okay, okay.",,* **Purpose:** Relationship-building + initial understanding of financial habits and setup,,- **Overall Insights**: Customer is involved in pickleball for socializing and fitness. Financial discussion revealed gaps in personal accident coverage and potential need for long-term planning for child's university fees.
,,,Speaker B: You got time or not to attend? I saw your pickleball skill on the Instagram.,,"* **Type:** First meeting (exploratory, informal discovery)",,
,,,Speaker A: Very good.,,"* **Attendees:** Advisor, Minchi (Customer 1)",,#### Discussion Points
,,,Speaker B: Be the next Singapore national player.,,"* **Stage:** Early discovery → rapport building, no deep planning yet",,- **Pickleball Tournament**: Customer invited to a GE pickleball tournament in April.
,,,"Speaker A: You know, recently I only start playing only not so good. But I need to like warm up, warm up a bit.",,"* **Tone & Sentiment:** Relaxed, open, conversational; customer was comfortable sharing",,"- **Sports and Fitness**: Customer plays pickleball for socializing and fitness, husband prefers swimming due to knee issues."
,,,Speaker B: It's okay. La. Actually pickleball is I feel is a sport that the injury level is not so high compared to like other intensive sport like tennis. Is that why you. You pick that up?,,* **Overall Insight:**,,"- **Insurance Portfolio**: Mix of Manulife and NTUC Income policies, with a focus on endowment plans and hospitalization coverage."
,,,"Speaker A: True. As in like I picked pickleball up because like it's easier. Like what is easier than tennis? But it's also to socialize. So recently I joined a group from pickleball, right. Which is this like Ang Mo Kyo pickleball club or something like that. So basically they every week we will group together at Ang Mo Kio Sports hub. Oh wow. We play pickleball together. So that's how I go there to network.",,"  Minchi and her household are **financially organised and disciplined**, but there are **clear gaps in personal accident coverage and longer-term planning (child’s future needs)**",,"- **Investments**: Monthly contributions of $500 to robo-advisor funds, accumulating to $20k with 3-5% returns."
,,,Speaker B: Will your husband join you in the session?,,,,- **Retirement Planning**: Retirement plans with 10-year payouts of $3k/month starting at age 65.
,,,Speaker A: Sometimes. Sometimes. But he also can play. So actually he plays better than me. Really?,,---,,- **Long-Term Goals**: Considering planning for child's university fees and potential career support.
,,,Speaker B: Yeah.,,,,
,,,Speaker A: But he. He has other interests. So my husband's other interest is like me going to. What's that called? His interest is to do swimming.,,### 2. Discussion Points,,#### Action Items
,,,Speaker B: Oh wow.,,,,- **Customer Follow-Up Actions**:
,,,Speaker A: So he actually does more swimming than me. But swimming is a very stylish sport.,,**Lifestyle & Personal Context**,,  - None explicitly mentioned.
,,,"Speaker B: But at this age when he do swimming, he got injury a lot last time.",,,,- **Advisor Follow-Up Actions**:
,,,"Speaker A: He used to have this like back problem. Yeah. But after a while, after a bit of slow recovery, after two years, I think more or less okay. Not fully recovery.",,* Recently picked up pickleball as a social and recreational activity,,  - Schedule a follow-up meeting in two weeks to discuss long-term financial planning.
,,,Speaker B: So he still need to go fish. Oil or no knee or last time he need to go fish.,,* Regularly plays with a community group,,  - Provide a detailed perspective based on current cash flow and explore options for child's university fees and retirement needs.
,,,"Speaker A: No, not fully recovery.",,* Husband is active in swimming due to past back and knee issues,,
,,,"Speaker B: Okay. Okay, that's good.",,,,---
,,,"Speaker A: That's good. Now overweight more like the knee problem. Yeah, yeah, yeah. That's why he do like swimming more than pickleball. Because you know, pickleball run a bit. The knee a bit.",,**Insurance & Coverage Overview**,,
,,,"Speaker B: Yeah. I also nowadays always got a lot of injury. Then I tell you something. Actually it's very important for personal accident coverage. Because I tell you, we all this age never do proper warm up or cool down the knee pain on this. We can actually use the personal accident plan to cover the cost. Actually last time did you all use.",,,,### Extracted Attributes
,,,Speaker A: Actually my husband have one for manulife. He got clean before la because the back got injured. So actually he got go like tcm go clean before but have one But I myself don't have yet.,,* Household policies split across Manulife and NTUC Income,,
,,,"Speaker B: Ah, okay.",,* Hospitalisation plans under NTUC Income,,#### Customer 1 - Financial Attributes
,,,Speaker A: Okay.,,* Husband has personal accident coverage (used before for injury claims),,- **Insurance Policies**: Mix of Manulife and NTUC Income.
,,,"Speaker B: Actually like your portfolio, right? Usually with which insurer?",,* Minchi currently does **not have personal accident coverage**,,"- **Investments**: Monthly contributions of $500 to robo-advisor funds, accumulating to $20k with 3-5% returns."
,,,Speaker A: Most of my our policies are with a mix of manual life and end use income.,,,,- **Retirement Plan**: 10-year payouts of $3k/month starting at age 65.
,,,Speaker B: Why you chose these two companies?,,**Financial Habits & Investments**,,- **Child's University Fees**: Considering planning for child's university fees.
,,,Speaker A: I'm curious because my husband's friend is from Manulife. So we just go with manual lifelong and then also end use income cost cheap. Most of our policies and our kids policies are from induced income. So our shell plan from hospital. The hospitalization shell plan is from induced income.,,,,
,,,Speaker B: I see. Then do you differentiate like example Manulife is more for your investment. Then NTUC is more for protection. Or you just see as,,* Conservative approach for insurance (prefers endowment-type plans),,#### Customer 1 - Relationship Attributes
,,,Speaker A: for menulife. Okay. So for policies in general we don't do investments investment like the risky ones. So on policy side we do normally like endowment plans got those like guaranteed returns kind. Then on the side me and my husband we will do more like shares investments on endowers on site.,,* Separates insurance from investments,,- **Sports and Fitness Preferences**:
,,,"Speaker B: Yeah, that's good.",,"* Actively invests in markets (shares, robo-advisors)",,  - Customer: Pickleball for socializing and fitness.
,,,Speaker A: We split the portfolio.,,* Practices regular monthly investing (DCA approach),,  - Husband: Swimming due to knee issues.
,,,"Speaker B: Yeah, I mean that's good Ma. Because I also believe that you can also earn more on your own in the market if you have the knowledge and the time. But of course if no knowledge and time then the alternative of getting someone to help you monitor will make more sense.",,,,- **Marital Dynamics**: Husband lets customer make financial decisions.
,,,Speaker A: I recently got all the endowments and stuff. You have robo advisors.,,**Existing Plans**,,
,,,Speaker B: Oh yeah. You trust the robo advisor.,,,,---
,,,"Speaker A: Okay, I think that's good. Every single month me and my husband we are putting in like about combined together $500 a month into this funds funds. So it's like dollar cost averaging every single month put 500. I think so far we have accumulated about 20k.",,* Both have retirement/endowment plans (mid-term planning in place),,
,,,Speaker B: Maybe I need to copy your portfolio returns.,,* Plans structured for long-term payouts during retirement,,### Action Items
,,,"Speaker A: Not bad returns. Not bad about like 3, 5%. So about can be inflation can really not so much Actually for yourself it",,,,
,,,Speaker B: sounds that you are quite rounded at the moment. That means you use ntuc. At least you got your hospitalization done. But just now you mentioned you don't have personal accident. Your husband is it the same he's hospital personal accident.,,**Future Planning Considerations**,,- **Advisor Follow-Up Actions**:
,,,"Speaker A: Personal accident with many lives. But the shelf plan, the hospital one, most of it it's all of us is actually in induced income.",,,,  - Schedule a follow-up meeting in two weeks to discuss long-term financial planning.
,,,"Speaker B: Ah, okay. Okay. Yeah. I think at this age better don't switch insurance.",,"* Starting to think about planning for child’s future (education, early career support)",,  - Provide a detailed perspective based on current cash flow and explore options for child's university fees and retirement needs.
,,,"Speaker A: Yeah, yeah. I cannot switch.",,* Currently no concrete plan in place yet,,
,,,Speaker B: Yeah.,,* Open to exploring structured options,,
,,,Speaker A: So very good.,,,,
,,,Speaker B: Then you were saying that you're more on the conservative side for your savings. So you are into endowments also. Right. Because the endowers all these things do the direct market.,,**Key Gaps Identified**,,
,,,Speaker A: Right?,,,,
,,,"Speaker B: So endowment and usually your endowment plan, how long you take? I mean how long you do it for? Like is it 10 year plan, 15 year plan?",,* No personal accident coverage for Minchi,,
